mac, time, freq, fftAccX, fftAccY, fftAccZ, fftVelocX, fftVelocY, fftVelocZ,
45482200000A,2022-05-07T03:09:01.000Z,0,0.1269,2.8477,9.7024,Infinity,Infinity,Infinity
,,3.125,0.2323,0.1341,0.1078,11.8309,6.8297,5.4902
,,6.25,0.0335,0.0766,0.0766,0.8531,1.9506,1.9506
,,9.375,0.1509,NaN,0.1988,2.5618,NaN,3.3749
,,12.5,0.012,NaN,0.1006,0.1528,NaN,1.2809
,,15.625,0.3066,NaN,0.1748,3.123,NaN,1.7805
,,18.75,0.0599,NaN,0.0862,0.5084,NaN,0.7317
,,21.875,0.1245,NaN,0.0671,0.9058,NaN,0.4882
,,25,0.0383,NaN,0.1269,0.2438,NaN,0.8079
,,28.125,0.582,NaN,0.297,3.2934,NaN,1.6807
,,31.25,0.0383,NaN,0.1198,0.1951,NaN,0.6101
,,34.375,0.3161,NaN,0.0551,1.4635,NaN,0.2551
,,37.5,0.0287,NaN,0.273,0.1218,NaN,1.1586
,,40.625,2.2394,NaN,0.9293,8.7732,NaN,3.6407
,,43.75,0.1748,0,0.2635,0.6359,0,0.9586
,,46.875,0.3257,0.6922,0.2347,1.1059,2.3502,0.7969
,,50,0.2467,0.4096,0.3569,0.7853,1.3038,1.136
,,53.125,1.3197,1.2239,0.9149,3.9536,3.6666,2.7409
,,56.25,0.0671,0.1653,0.1389,0.1899,0.4677,0.393
,,59.375,0.2802,0.2012,0.1293,0.7511,0.5393,0.3466
,,62.5,0.1341,0.1341,0.1365,0.3415,0.3415,0.3476
,,65.625,0.6083,0.4096,0.2395,1.4753,0.9934,0.5808
,,68.75,0.2563,0.0742,0.309,0.5933,0.1718,0.7153
,,71.875,0.1341,0.0647,0.0216,0.2969,0.1433,0.0478
,,75,0.1054,0.1988,0.182,0.2237,0.4219,0.3862
,,78.125,0.3042,0.182,0.2706,0.6197,0.3708,0.5513
,,81.25,0.2419,0.1006,0.4622,0.4738,0.1971,0.9054
,,84.375,0.2826,0.4838,0.3856,0.5331,0.9126,0.7273
,,87.5,0.1581,0.6491,0.4215,0.2876,1.1807,0.7667
,,90.625,0.3305,0.6634,0.9053,0.5804,1.1651,1.5899
,,93.75,0.3784,2.031,1.2526,0.6424,3.4479,2.1265
,,96.875,0.0766,0.4119,0.2251,0.1258,0.6767,0.3698
,,100,0.1964,0.6419,0.4215,0.3126,1.0216,0.6708
,,103.125,0.1245,0.4455,0.2443,0.1921,0.6875,0.377
,,106.25,0.1892,0.3976,0.2946,0.2834,0.5956,0.4413
,,109.375,0.0503,0.1533,0.5461,0.0732,0.2231,0.7946
,,112.5,0.2778,0.1437,0.5724,0.393,0.2033,0.8098
,,115.625,0.2922,0.388,0.0479,0.4022,0.5341,0.0659
,,118.75,0.2587,0.2323,0.3138,0.3467,0.3113,0.4206
,,121.875,0.2203,0.285,0.6994,0.2877,0.3722,0.9133
,,125,0.115,0.2395,0.2754,0.1464,0.3049,0.3507
,,128.125,0.582,0.4239,1.461,0.723,0.5266,1.8148
,,131.25,0.2012,0.2156,0.2706,0.244,0.2614,0.3281
,,134.375,0.0311,0.3617,1.9376,0.0368,0.4284,2.2949
,,137.5,0.285,0.1341,0.2922,0.3299,0.1552,0.3382
,,140.625,0.4167,0.5652,0.9963,0.4716,0.6397,1.1276
,,143.75,0.5006,0.3832,0.9437,0.5542,0.4243,1.0448
,,146.875,0.6538,0.4024,1.6789,0.7085,0.436,1.8193
,,150,0.4742,0.491,1.0658,0.5031,0.521,1.1308
,,153.125,0.2826,0.2299,0.7976,0.2937,0.239,0.829
,,156.25,0.5149,0.3928,0.6443,0.5245,0.4001,0.6563
,,159.375,0.1677,0.4119,0.5317,0.1675,0.4113,0.531
,,162.5,0.1892,0.1221,0.1605,0.1853,0.1196,0.1572
,,165.625,0.3257,0.2347,0.4072,0.313,0.2255,0.3913
,,168.75,0.1054,0.5772,0.1868,0.0994,0.5444,0.1762
,,171.875,0.024,0.3928,0.091,0.0222,0.3637,0.0843
,,175,0.309,0.388,0.5916,0.281,0.3529,0.538
,,178.125,0.206,0.4934,0.4048,0.1841,0.4409,0.3617
,,181.25,0.2659,0.1988,0.5509,0.2335,0.1746,0.4837
,,184.375,0.1868,0.3353,0.0144,0.1612,0.2894,0.0124
,,187.5,0.6706,1.1137,1.2095,0.5692,0.9453,1.0267
,,190.625,0.1485,0.1964,0.1509,0.124,0.164,0.126
,,193.75,0.2323,0.3305,0.3712,0.1908,0.2715,0.3049
,,196.875,0.467,0.6251,0.1198,0.3775,0.5053,0.0968
,,200,0.2132,0.1844,0.0144,0.1697,0.1467,0.0115
,,203.125,0.4742,0.4239,0.3952,0.3716,0.3321,0.3097
,,206.25,0.5509,0.2682,0.2012,0.4251,0.207,0.1553
,,209.375,0.4167,0.5413,0.2012,0.3168,0.4115,0.1529
,,212.5,0.8023,0.3593,0.2036,0.6009,0.2691,0.1525
,,215.625,0.4551,0.2419,0.1006,0.3359,0.1785,0.0743
,,218.75,0.9508,0.2084,0.1724,0.6918,0.1516,0.1254
,,221.875,0.9269,0.7592,0.1102,0.6649,0.5446,0.079
,,225,0.2443,0.2635,0.2395,0.1728,0.1864,0.1694
,,228.125,1.4203,1.0395,0.5269,0.9909,0.7252,0.3676
,,231.25,0.3114,0.2323,0.1677,0.2143,0.1599,0.1154
,,234.375,0.4311,0.1389,0.1892,0.2927,0.0943,0.1285
,,237.5,0.4934,0.1653,0.1557,0.3306,0.1108,0.1043
,,240.625,0.0695,0.2395,0.115,0.046,0.1584,0.0761
,,243.75,0.1772,0.0695,0.0647,0.1157,0.0454,0.0422
,,246.875,0.0168,0.1198,0.1174,0.0108,0.0772,0.0757
,,250,0.3832,0.2706,0.1245,0.244,0.1723,0.0793
,,253.125,0.3784,0.1006,0.1437,0.2379,0.0633,0.0904
,,256.25,0.3257,0.1413,0.2323,0.2023,0.0878,0.1443
,,259.375,0.2946,0.024,0.1413,0.1808,0.0147,0.0867
,,262.5,0.2251,0.1557,0.1916,0.1365,0.0944,0.1162
,,265.625,0.1844,0.0503,0.2299,0.1105,0.0301,0.1377
,,268.75,0.6347,0.1629,0.2587,0.3759,0.0965,0.1532
,,271.875,0.4934,0.1413,0.2371,0.2888,0.0827,0.1388
,,275,0.3042,0.1485,0.0958,0.1761,0.0859,0.0554
,,278.125,0.4838,0.0647,0.2251,0.2769,0.037,0.1288
,,281.25,0.3784,0.1102,0.2682,0.2141,0.0624,0.1518
,,284.375,0.3018,0.1653,0.1437,0.1689,0.0925,0.0804
,,287.5,0.0766,0.1557,0.1629,0.0424,0.0862,0.0902
,,290.625,0.4263,0.1581,0.1485,0.2335,0.0866,0.0813
,,293.75,0.2443,0.1485,0.1677,0.1324,0.0805,0.0909
,,296.875,0.2539,0.1078,0.1796,0.1361,0.0578,0.0963
,,300,0.1605,0.1605,0.2467,0.0851,0.0851,0.1309
,,303.125,0.206,0.1006,0.1653,0.1082,0.0528,0.0868
,,306.25,0.0982,0.1054,0.1533,0.051,0.0548,0.0797
,,309.375,0.2635,0.103,0.0599,0.1356,0.053,0.0308
,,312.5,0.0695,0.1413,0.2251,0.0354,0.072,0.1146
,,315.625,0.2132,0.0431,0.2539,0.1075,0.0217,0.128
,,318.75,0.1605,0.1006,0.0838,0.0801,0.0502,0.0418
,,321.875,0.3952,0.1629,0.2682,0.1954,0.0805,0.1326
,,325,0.0263,0.1509,0.0647,0.0129,0.0739,0.0317
,,328.125,0.0479,0.1772,0.0407,0.0232,0.0859,0.0197
,,331.25,0.285,0.1437,0.0838,0.1369,0.069,0.0403
,,334.375,0.0072,0.091,0.091,0.0034,0.0433,0.0433
,,337.5,0.0814,0.1198,0.1078,0.0384,0.0565,0.0508
,,340.625,0.0862,0.1772,0.0958,0.0403,0.0828,0.0448
,,343.75,0.1054,0.0192,0.1748,0.0488,0.0089,0.0809
,,346.875,0.17,0.2706,0.1461,0.078,0.1242,0.067
,,350,0.0695,0.0695,0.2251,0.0316,0.0316,0.1024
,,353.125,0.0431,0.0862,0.0479,0.0194,0.0389,0.0216
,,356.25,0.1748,0.2443,0.2371,0.0781,0.1091,0.1059
,,359.375,0.1916,0.1126,0.1054,0.0849,0.0499,0.0467
,,362.5,0.1437,0.2922,0.2179,0.0631,0.1283,0.0957
,,365.625,0.0838,0.1605,0.1581,0.0365,0.0699,0.0688
,,368.75,0.0695,0.1677,0.0527,0.03,0.0724,0.0227
,,371.875,0.1844,0.1533,0.2754,0.0789,0.0656,0.1179
,,375,0.1509,0.0886,0.1988,0.064,0.0376,0.0844
,,378.125,0.1341,0.182,0.024,0.0564,0.0766,0.0101
,,381.25,0.1581,0.2467,0.0263,0.066,0.103,0.011
,,384.375,0.0455,0.0431,0.1581,0.0188,0.0178,0.0655
,,387.5,0.0838,0.1892,0.0503,0.0344,0.0777,0.0207
,,390.625,0.1413,0.2299,0.0934,0.0576,0.0937,0.0381
,,393.75,0.0862,0.1796,0.0503,0.0348,0.0726,0.0203
,,396.875,0.1533,0.2874,0.1102,0.0615,0.1153,0.0442
,,400,0.1078,0.0647,0.0766,0.0429,0.0257,0.0305
,,403.125,0.1461,0.3545,0.2491,0.0577,0.14,0.0983
,,406.25,0.1916,0.2467,0.0216,0.0751,0.0966,0.0085
,,409.375,0.1653,0.0383,0.079,0.0643,0.0149,0.0307
,,412.5,0.2587,0.1461,0.0886,0.0998,0.0564,0.0342
,,415.625,0.2156,0.1006,0.115,0.0826,0.0385,0.044
,,418.75,0.103,0.0551,0.0311,0.0391,0.0209,0.0118
,,421.875,0.0431,0.103,0.2539,0.0163,0.0389,0.0958
,,425,0.1293,0.0479,0.1437,0.0484,0.0179,0.0538
,,428.125,0.1006,0.115,0.0814,0.0374,0.0428,0.0303
,,431.25,0.0359,0.0431,0.0814,0.0132,0.0159,0.03
,,434.375,0.0719,0.1605,0.1653,0.0263,0.0588,0.0606
,,437.5,0.0958,0.3617,0.0623,0.0349,0.1316,0.0227
,,440.625,0.1293,0.115,0.1677,0.0467,0.0415,0.0606
,,443.75,0.2826,0.3209,0.1677,0.1014,0.1151,0.0601
,,446.875,0.0814,0.2635,0.1293,0.029,0.0938,0.0461
,,450,0.2203,0.376,0.0862,0.0779,0.133,0.0305
,,453.125,0.1724,0.0647,0.0216,0.0606,0.0227,0.0076
,,456.25,0.2539,0.2012,0.103,0.0886,0.0702,0.0359
,,459.375,0.103,0.1557,0.0766,0.0357,0.0539,0.0265
,,462.5,0.091,0.1629,0.1102,0.0313,0.0561,0.0379
,,465.625,0.0263,0.115,0.0359,0.009,0.0393,0.0123
,,468.75,0.1365,0.0599,0.0575,0.0463,0.0203,0.0195
,,471.875,0.1389,0.2203,0.0216,0.0468,0.0743,0.0073
,,475,0.0766,0.3521,0.091,0.0257,0.118,0.0305
,,478.125,0.0623,0.2012,0.0671,0.0207,0.067,0.0223
,,481.25,0.0575,0.1557,0.0575,0.019,0.0515,0.019
,,484.375,0.1174,0.1892,0.0886,0.0386,0.0622,0.0291
,,487.5,0.0695,0.194,0.0359,0.0227,0.0633,0.0117
,,490.625,0.0671,0.2156,0.1461,0.0218,0.0699,0.0474
,,493.75,0.0311,0.2395,0.091,0.01,0.0772,0.0293
,,496.875,0.0311,0.3832,0.0647,0.01,0.1227,0.0207
,,500,0.1245,0.2443,0.0671,0.0396,0.0778,0.0214
,,503.125,0.1581,0.3042,0.2132,0.05,0.0962,0.0674
,,506.25,0.0886,0.0958,0.0814,0.0279,0.0301,0.0256
,,509.375,0.0263,0.17,0.091,0.0082,0.0531,0.0284
,,512.5,0.0719,0.1437,0.1006,0.0223,0.0446,0.0312
,,515.625,0.0814,0.1509,0.0263,0.0251,0.0466,0.0081
,,518.75,0.1772,0.273,0.0479,0.0544,0.0838,0.0147
,,521.875,0.0383,0.0766,0.0479,0.0117,0.0234,0.0146
,,525,0.1533,0.1748,0.0623,0.0465,0.053,0.0189
